transaction_id,line_no,transaction_date,account_number,fund_id,subsidiary_id,debit_amount,credit_amount,memo,source_gift_id
JE-000001,1,2026-01-28,1000,FND-005,SUB-01,1014.42,0.0,Gift receipt GFT-000001,GFT-000001
JE-000001,2,2026-01-28,4100,FND-005,SUB-01,0.0,1014.42,Gift receipt GFT-000001,GFT-000001
JE-000002,1,2026-06-15,1000,FND-007,SUB-01,168.62,0.0,Gift receipt GFT-000002,GFT-000002
JE-000002,2,2026-06-15,4100,FND-007,SUB-01,0.0,168.62,Gift receipt GFT-000002,GFT-000002
JE-000003,1,2024-02-19,1000,FND-006,SUB-01,36.86,0.0,Gift receipt GFT-000003,GFT-000003
JE-000003,2,2024-02-19,4100,FND-006,SUB-01,0.0,36.86,Gift receipt GFT-000003,GFT-000003
JE-000004,1,2024-06-19,1000,FND-002,SUB-01,16.14,0.0,Gift receipt GFT-000004,GFT-000004
JE-000004,2,2024-06-19,4100,FND-002,SUB-01,0.0,16.14,Gift receipt GFT-000004,GFT-000004
JE-000005,1,2025-04-04,1000,FND-004,SUB-01,58.95,0.0,Gift receipt GFT-000005,GFT-000005
JE-000005,2,2025-04-04,4000,FND-004,SUB-01,0.0,58.95,Gift receipt GFT-000005,GFT-000005
JE-000006,1,2024-02-25,1000,FND-006,SUB-01,395.12,0.0,Gift receipt GFT-000006,GFT-000006
JE-000006,2,2024-02-25,4100,FND-006,SUB-01,0.0,395.12,Gift receipt GFT-000006,GFT-000006
JE-000007,1,2026-05-12,1000,FND-007,SUB-01,44.33,0.0,Gift receipt GFT-000007,GFT-000007
JE-000007,2,2026-05-12,4100,FND-007,SUB-01,0.0,44.33,Gift receipt GFT-000007,GFT-000007
JE-000008,1,2025-08-26,1000,FND-003,SUB-02,473.29,0.0,Gift receipt GFT-000008,GFT-000008
JE-000008,2,2025-08-26,4100,FND-003,SUB-02,0.0,473.29,Gift receipt GFT-000008,GFT-000008
JE-000009,1,2024-06-19,1000,FND-003,SUB-01,370.64,0.0,Gift receipt GFT-000009,GFT-000009
JE-000009,2,2024-06-19,4100,FND-003,SUB-01,0.0,370.64,Gift receipt GFT-000009,GFT-000009
JE-000010,1,2025-02-11,1000,FND-003,SUB-01,162.54,0.0,Gift receipt GFT-000010,GFT-000010
JE-000010,2,2025-02-11,4100,FND-003,SUB-01,0.0,162.54,Gift receipt GFT-000010,GFT-000010
JE-000011,1,2026-01-29,1000,FND-006,SUB-01,33.85,0.0,Gift receipt GFT-000011,GFT-000011
JE-000011,2,2026-01-29,4100,FND-006,SUB-01,0.0,33.85,Gift receipt GFT-000011,GFT-000011
JE-000012,1,2026-03-24,1000,FND-004,SUB-01,84.68,0.0,Gift receipt GFT-000012,GFT-000012
JE-000012,2,2026-03-24,4000,FND-004,SUB-01,0.0,84.68,Gift receipt GFT-000012,GFT-000012
JE-000013,1,2026-05-06,1000,FND-007,SUB-01,139.02,0.0,Gift receipt GFT-000013,GFT-000013
JE-000013,2,2026-05-06,4100,FND-007,SUB-01,0.0,139.02,Gift receipt GFT-000013,GFT-000013
