gift_id,donor_id,fund_id,campaign_id,gift_date,gift_amount,gift_type
GFT-000001,DNR-00234,FND-005,CAM-005,2026-01-23,1014.42,Pledge Payment
GFT-000002,DNR-00642,FND-007,CAM-004,2026-06-15,168.62,Cash
GFT-000003,DNR-00713,FND-006,CAM-005,2024-02-19,36.86,Cash
GFT-000004,DNR-00610,FND-002,,2024-06-18,16.14,Pledge Payment
GFT-000005,DNR-00242,FND-004,CAM-002,2025-04-02,58.95,Cash
GFT-000006,DNR-00375,FND-006,,2024-02-25,395.12,Pledge Payment
GFT-000007,DNR-00796,FND-007,,2026-05-12,44.33,Matching Gift
GFT-000008,DNR-00867,FND-003,CAM-005,2025-08-24,473.29,Cash
GFT-000009,DNR-01137,FND-003,CAM-005,2024-06-19,370.64,Cash
GFT-000010,DNR-00288,FND-003,CAM-003,2025-02-11,162.54,Pledge Payment
GFT-000011,DNR-00110,FND-006,,2026-01-09,33.85,Matching Gift
GFT-000012,DNR-00280,FND-004,CAM-004,2026-03-19,84.68,Cash
GFT-000013,DNR-01014,FND-007,CAM-005,2026-05-01,139.02,Cash
GFT-000014,DNR-00910,FND-008,,2025-10-29,267.0,Cash
GFT-000015,DNR-01158,FND-001,CAM-001,2023-12-17,45.76,Stock
GFT-000016,DNR-00067,FND-005,CAM-001,2025-02-18,887.26,Cash
GFT-000017,DNR-00345,FND-008,CAM-005,2025-02-11,264.28,Pledge Payment
GFT-000018,DNR-00232,FND-002,CAM-002,2026-05-12,299.59,Stock
GFT-000019,DNR-01111,FND-001,CAM-005,2025-07-21,367.6,Cash
GFT-000020,DNR-00871,FND-002,CAM-001,2024-09-20,782.17,Cash
GFT-000021,DNR-00067,FND-008,CAM-002,2025-03-01,225.02,Pledge Payment
GFT-000022,DNR-00179,FND-008,,2025-06-13,395.4,Cash
GFT-000023,DNR-00430,FND-006,CAM-004,2024-10-28,86.14,Cash
GFT-000024,DNR-00286,FND-004,CAM-001,2024-06-04,1314.27,Cash
