pledge_id,donor_id,fund_id,pledge_date,pledged_amount,paid_amount,status
PLG-00001,DNR-01075,FND-008,2025-02-06,79.52,45.09,Active
PLG-00002,DNR-00287,FND-004,2025-02-11,333.61,286.41,Active
PLG-00003,DNR-00619,FND-005,2025-09-08,2880.84,2113.88,Active
PLG-00004,DNR-00869,FND-004,2024-09-20,1983.34,1802.06,Active
PLG-00005,DNR-00227,FND-002,2026-01-22,1121.53,225.07,Active
PLG-00006,DNR-00611,FND-003,2024-01-26,424.71,226.32,Active
PLG-00007,DNR-00465,FND-002,2025-09-20,275.39,137.61,Active
PLG-00008,DNR-00425,FND-007,2024-12-18,368.26,365.42,Active
PLG-00009,DNR-00796,FND-006,2025-08-11,3127.56,1824.49,Active
PLG-00010,DNR-DUP014,FND-008,2023-08-14,354.8,223.85,Active
PLG-00011,DNR-00474,FND-001,2023-08-27,736.14,274.7,Active
PLG-00012,DNR-00467,FND-007,2024-10-07,313.03,132.3,Active
PLG-00013,DNR-00706,FND-003,2024-04-22,1544.99,1161.95,Active
PLG-00014,DNR-00233,FND-003,2026-03-15,388.1,319.63,Active
PLG-00015,DNR-00457,FND-005,2023-11-09,603.29,571.94,Active
PLG-00016,DNR-00773,FND-003,2024-01-09,123.55,29.03,Active
PLG-00017,DNR-00263,FND-003,2025-01-26,132.51,35.19,Active
PLG-00018,DNR-00042,FND-002,2024-02-19,670.27,391.34,Active
PLG-00019,DNR-00821,FND-001,2026-03-10,176.77,98.48,Active
PLG-00020,DNR-01067,FND-005,2026-03-04,5459.36,2553.52,Active
PLG-00021,DNR-00920,FND-001,2025-04-07,84.65,77.5,Active
PLG-00022,DNR-00219,FND-008,2024-03-11,298.82,98.31,Active
PLG-00023,DNR-00839,FND-006,2025-11-02,676.34,194.99,Active
PLG-00024,DNR-01133,FND-002,2023-07-20,461.68,223.8,Active
PLG-00025,DNR-00642,FND-007,2024-11-10,220.49,120.42,Active
PLG-00026,DNR-00193,FND-003,2026-01-30,255.21,70.38,Active
PLG-00027,DNR-00722,FND-008,2024-06-29,246.99,243.25,Active
PLG-00028,DNR-00212,FND-007,2025-03-16,499.34,397.41,Active
PLG-00029,DNR-01149,FND-002,2023-12-29,4684.1,3218.17,Active
PLG-00030,DNR-01077,FND-001,2025-09-10,719.05,473.97,Active
PLG-00031,DNR-00097,FND-002,2024-08-28,2170.91,1355.34,Active
PLG-00032,DNR-00158,FND-007,2026-04-07,1104.31,788.92,Active
PLG-00033,DNR-00352,FND-002,2025-09-04,2026.09,969.38,Active
PLG-00034,DNR-00399,FND-007,2024-03-03,40.45,15.27,Active
PLG-00035,DNR-00963,FND-006,2024-12-30,490.56,412.98,Active
PLG-00036,DNR-00093,FND-005,2023-10-24,2458.08,1629.01,Active
PLG-00037,DNR-00732,FND-005,2025-07-30,375.5,148.0,Active
PLG-00038,DNR-00461,FND-006,2025-11-09,3875.67,2374.66,Active
PLG-00039,DNR-00481,FND-002,2024-05-09,2933.32,2707.58,Active
PLG-00040,DNR-00447,FND-003,2024-04-23,416.08,243.6,Active
PLG-00041,DNR-00701,FND-002,2025-12-13,402.15,373.44,Active
PLG-00042,DNR-00378,FND-006,2023-11-14,241.39,204.45,Active
PLG-00043,DNR-00521,FND-008,2025-11-09,354.39,249.31,Active
PLG-00044,DNR-00218,FND-003,2024-07-19,193.91,178.09,Active
PLG-00045,DNR-01111,FND-007,2024-10-20,1021.28,535.82,Active
PLG-00046,DNR-00529,FND-002,2024-08-29,155.08,101.91,Active
PLG-00047,DNR-00652,FND-004,2024-01-09,1216.5,947.24,Active
PLG-00048,DNR-00108,FND-004,2023-07-18,1246.48,562.36,Active
PLG-00049,DNR-00820,FND-006,2023-10-03,126.32,115.68,Active
PLG-00050,DNR-00627,FND-006,2026-02-06,3133.23,2257.46,Active
PLG-00051,DNR-00066,FND-003,2024-02-06,1111.66,342.93,Active
